dt,uid,bikes_available_to_rent
2023-10-12 00:02:16,29745906,3
2023-10-12 00:02:16,29746009,3
2023-10-12 00:02:16,29746047,0
2023-10-12 00:02:16,29746068,4
2023-10-12 00:02:16,29746123,3
2023-10-12 00:02:16,29746679,2
2023-10-12 00:02:16,29747497,2
2023-10-12 00:02:16,29749806,0
2023-10-12 00:02:16,29749855,0
2023-10-12 00:02:16,29749951,0
2023-10-12 00:02:16,29750190,1
2023-10-12 00:02:16,29750264,0
2023-10-12 00:02:16,29750615,3
2023-10-12 00:02:16,29751228,1
2023-10-12 00:02:16,29751388,2
2023-10-12 00:02:16,29751426,1
2023-10-12 00:02:16,29751502,0
2023-10-12 00:02:16,29751545,2
2023-10-12 00:02:16,29751592,1
2023-10-12 00:02:16,29751674,0
2023-10-12 00:02:16,29751736,1
2023-10-12 00:02:16,29751789,0
2023-10-12 00:02:16,29751918,1
2023-10-12 00:02:16,29752309,11
2023-10-12 00:02:16,29752472,0
2023-10-12 00:02:16,29752573,2
2023-10-12 00:02:16,29753372,3
2023-10-12 00:02:16,29753410,6
2023-10-12 00:02:16,29755203,0
2023-10-12 00:02:16,29992386,0
2023-10-12 00:02:16,29992613,3
2023-10-12 00:02:16,30278163,1
2023-10-12 00:02:16,30613108,7
2023-10-12 00:02:16,30613827,0
2023-10-12 00:02:16,30613955,0
2023-10-12 00:02:16,30925063,7
2023-10-12 00:02:16,31868207,6
2023-10-12 00:02:16,35855774,0
2023-10-12 00:02:16,35855809,0
2023-10-12 00:02:16,145369985,0
2023-10-12 00:02:16,152260960,0
2023-10-12 00:02:16,158039882,0
2023-10-12 00:02:16,158040425,0
2023-10-12 00:02:16,158040663,0
2023-10-12 00:02:16,158040927,2
2023-10-12 00:02:16,158041172,1
2023-10-12 00:02:16,158041482,3
2023-10-12 00:02:16,158041981,1
2023-10-12 00:02:16,158042216,0
2023-10-12 00:02:16,158042737,0
2023-10-12 00:02:16,158042992,4
2023-10-12 00:02:16,158046029,0
2023-10-12 00:02:16,158046288,2
2023-10-12 00:02:16,158046511,0
2023-10-12 00:02:16,158046728,2
2023-10-12 00:02:16,158046916,1
2023-10-12 00:02:16,167222018,0
2023-10-12 00:02:16,167222141,4
2023-10-12 00:02:16,176856256,0
2023-10-12 00:02:16,203568824,3
2023-10-12 00:02:16,265397056,1
2023-10-12 00:19:25,29745906,3
2023-10-12 00:19:25,29746009,3
2023-10-12 00:19:25,29746047,0
2023-10-12 00:19:25,29746068,4
2023-10-12 00:19:25,29746123,3
2023-10-12 00:19:25,29746679,2
2023-10-12 00:19:25,29747497,2
2023-10-12 00:19:25,29749806,0
2023-10-12 00:19:25,29749855,0
2023-10-12 00:19:25,29749951,0
2023-10-12 00:19:25,29750190,1
2023-10-12 00:19:25,29750264,0
2023-10-12 00:19:25,29750615,3
2023-10-12 00:19:25,29751228,1
2023-10-12 00:19:25,29751388,2
2023-10-12 00:19:25,29751426,1
2023-10-12 00:19:25,29751502,0
2023-10-12 00:19:25,29751545,2
2023-10-12 00:19:25,29751592,1
2023-10-12 00:19:25,29751674,0
2023-10-12 00:19:25,29751736,1
2023-10-12 00:19:25,29751789,0
2023-10-12 00:19:25,29751918,1
2023-10-12 00:19:25,29752309,11
2023-10-12 00:19:25,29752472,0
2023-10-12 00:19:25,29752573,2
2023-10-12 00:19:25,29753372,3
2023-10-12 00:19:25,29753410,6
2023-10-12 00:19:25,29755203,0
2023-10-12 00:19:25,29992386,0
2023-10-12 00:19:25,29992613,3
2023-10-12 00:19:25,30278163,1
2023-10-12 00:19:25,30613108,7
2023-10-12 00:19:25,30613827,0
2023-10-12 00:19:25,30613955,0
2023-10-12 00:19:25,30925063,7
2023-10-12 00:19:25,31868207,6
2023-10-12 00:19:25,35855774,0
2023-10-12 00:19:25,35855809,0
2023-10-12 00:19:25,145369985,0
2023-10-12 00:19:25,152260960,0
2023-10-12 00:19:25,158039882,0
2023-10-12 00:19:25,158040425,0
2023-10-12 00:19:25,158040663,0
2023-10-12 00:19:25,158040927,2
2023-10-12 00:19:25,158041172,1
2023-10-12 00:19:25,158041482,3
2023-10-12 00:19:25,158041981,1
2023-10-12 00:19:25,158042216,0
2023-10-12 00:19:25,158042737,0
2023-10-12 00:19:25,158042992,4
2023-10-12 00:19:25,158046029,0
2023-10-12 00:19:25,158046288,2
